x,y
690.0,260.0
689.9885771367294,261.30893048279626
689.9619261087743,262.61759515698924
689.9200521348773,263.9257947268523
689.8629632156965,265.23332999380557
689.7906701320408,266.5400018968628
689.7031864424979,267.84561155304635
689.6005284804605,269.1499602977621
689.4827153505466,270.452849725123
689.349768924419,271.75408172821415
689.201713836002,273.0534585392892
689.0385774760975,274.35078276988855
688.8603899864031,275.6458574508713
688.6671842529305,276.93848607235043
688.4589958988284,278.22847262352377
688.2358632766117,279.51562163238964
687.9978274597961,280.79973820534025
687.7449322339439,282.0806280666219
687.4772240871191,283.35809759765453
687.194752199758,284.63195387620055
686.8975684339546,285.90200471537435
686.5857273221649,287.16805870248436
686.2592860553324,288.42992523769755
685.9183044704379,289.6874145725181
685.5628450374761,290.94033784807215
685.1929728458615,292.1885071331888
684.8087555902695,293.4317354622693
684.4102635559118,294.6698368729358
683.9975696032541,295.90262644345125
683.5707491521758,297.1299203299012
683.1298801655788,298.3515358031302
682.6750431324456,299.56729128542327
682.2063210503553,300.777006386925
681.723799407457,301.9805019417877
681.2275661639085,303.17760004403976
680.7177117327817,304.368124083168
680.1943289604428,305.55189877940325
679.6575131064074,306.72875021870334
679.1073618226792,307.898505887425
678.5439751325758,309.0609947066763
677.9674554090458,310.21604706634224
677.3779073524832,311.3634948587764
676.7754379680443,312.5031715121497
676.1601565424722,313.6349120234503
675.5321746204351,314.7585529911258
674.8916059803818,315.8739326473618
674.2385666099236,316.9808908899881
673.5731746807455,318.0792693140066
672.8955505230533,319.1689112427332
672.2058165995638,320.24966175854684
671.1341794286235,322.54779508790375
670.0225975163037,324.8268757529628
668.8714094612234,327.08620952367545
667.6809659264159,329.32510818508854
666.4516295325137,331.542889746981
665.1837747472917,333.738878651605
663.8777877715991,335.91240597946717
662.5340664217202,338.062809653088
661.1530200081952,340.18943463867714
659.7350692111398,342.29163314566273
658.2806459521032,344.36876482401533
656.7901932624992,346.4201969593038
655.2641651486555,348.44530466542733
653.7030264535184,350.4434710749608
652.1072527150577,352.41408752705934
650.4773300214125,354.35655375286166
648.8137548628251,356.27027805833853
647.1170339804038,358.1546775045276
645.387684211766,360.00917808510314
643.626232333604,361.8332149012233
641.8332149012233,363.626232333604
640.0091780851031,365.38768421176604
638.1546775045276,367.1170339804038
636.2702780583385,368.8137548628251
634.3565537528616,370.47733002141257
632.4140875270593,372.1072527150577
630.4434710749608,373.7030264535184
628.4453046654273,375.26416514865554
626.4201969593038,376.79019326249926
624.3687648240153,378.2806459521032
622.2916331456627,379.73506921113983
620.1894346386771,381.1530200081951
618.0628096530879,382.5340664217202
615.9124059794672,383.8777877715991
613.738878651605,385.1837747472917
611.542889746981,386.4516295325138
609.3251081850885,387.6809659264158
607.0862095236755,388.87140946122344
604.8268757529628,390.02259751630373
602.5477950879038,391.1341794286234
600.2496617585468,392.2058165995638
597.9331757985667,393.2371825980615
595.599042832027,394.22796326004215
593.2479738584407,395.17785678411843
590.8806850361923,396.0865738235209
588.4978974643897,396.95383757423645
586.1003369632097,397.7793838593253
583.6887338528068,398.5629612093918
581.26382273085,399.3043309391843
578.8263422487578,400.0032672203013
576.3770348866974,400.659557149981
573.9166467274183,401.27300081595314
571.445927228988,401.8434113573344
568.9656289965003,402.37061502154825
566.4765075528238,402.8544512172514
